StartDate,Code,MidasTripActionID,Nutrients > Ammonium_NH4,Nutrients > Nitrate_Nitrite,Nutrients > Nitrate_NO3,Nutrients > Nitrite_NO2,Nutrients > Phosphate_PO4,Nutrients > Silicate_SiO4,Pigments > 19But_Fucoxanthin,Pigments > 19Hex_Fucoxanthin,Pigments > Alloxanthin,Pigments > Antheraxanthin,Pigments > Anthoxanthin,Pigments > Beta_Carotene,Pigments > Chlorophyll_a,Pigments > Chlorophyll_b,Pigments > Chlorophyll_c2,Pigments > Chlorophyll_c2c1,Pigments > Chlorophyll_c3,Pigments > Chlorophyllide_a,Pigments > Diadinoxanthin,Pigments > Diatoxanthin,Pigments > Echinenone,Pigments > Fucoxanthin,Pigments > Lutein,Pigments > Neoxanthin,Pigments > Peridinin,Pigments > Pheophorbide_a,Pigments > Pheophytin_a,Pigments > Pheophytin_b,Pigments > Prasinoxanthin,Pigments > Violaxanthin,Pigments > Zeaxanthin,SPM > SPM,TotalObservations
21-Aug-02,130,1766,1,,1,1,1,1,,,1,,,,1,1,,1,1,,1,1,,1,1,1,1,,,,,,1,1,18
21-Aug-02,230,1770,,,,,,,1,1,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,,20
21-Aug-02,700,1773,1,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,1,26
21-Aug-02,B07,1777,1,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,1,26
21-Aug-02,780,1781,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,1,25
21-Aug-02,330,1785,1,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,1,26
23-Aug-02,120,1851,1,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,1,26
23-Aug-02,215,1854,1,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,1,26
23-Aug-02,ZG02,1857,1,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,1,26
27-Sep-02,130,1960,1,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,1,26
